func,v
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,35.9649
E,f,91.3879
E,f,145.292
E,f,197.678
E,f,248.546
E,f,297.895
E,f,345.726
E,f,392.038
E,f,436.832
E,f,480.108
E,f,521.865
E,f,562.103
E,f,600.823
E,f,638.025
E,f,673.708
E,f,707.873
E,f,740.519
E,f,771.647
E,f,801.257
E,f,829.348
E,f,855.921
E,f,880.975
E,f,904.511
E,f,926.528
E,f,947.027
E,f,966.007
E,f,983.469
E,f,999.413
E,f,1013.84
E,f,1026.74
E,f,1038.13
E,f,1048
E,f,1056.35
E,f,1063.19
E,f,1068.5
E,f,1072.3
E,f,1074.58
E,f,1075.33
E,f,1074.58
E,f,1072.3
E,f,1068.5
E,f,1063.19
E,f,1056.35
E,f,1048
E,f,1038.13
E,f,1026.74
E,f,1013.84
E,f,999.413
E,f,983.469
E,f,966.007
E,f,947.027
E,f,926.528
E,f,904.511
E,f,880.975
E,f,855.921
E,f,829.348
E,f,801.257
E,f,771.647
E,f,740.519
E,f,707.873
E,f,673.708
E,f,638.025
E,f,600.823
E,f,562.103
E,f,521.865
E,f,480.108
E,f,436.832
E,f,392.038
E,f,345.726
E,f,297.895
E,f,248.546
E,f,197.678
E,f,145.292
E,f,91.3879
E,f,35.9649
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,51.8219
E,f,108.763
E,f,164.186
E,f,218.091
E,f,270.477
E,f,321.344
E,f,370.694
E,f,418.524
E,f,464.837
E,f,509.631
E,f,552.906
E,f,594.663
E,f,634.901
E,f,673.622
E,f,710.823
E,f,746.507
E,f,780.671
E,f,813.318
E,f,844.446
E,f,874.055
E,f,902.146
E,f,928.719
E,f,953.773
E,f,977.309
E,f,999.326
E,f,1019.83
E,f,1038.81
E,f,1056.27
E,f,1072.21
E,f,1086.64
E,f,1099.54
E,f,1110.93
E,f,1120.8
E,f,1129.15
E,f,1135.99
E,f,1141.3
E,f,1145.1
E,f,1147.37
E,f,1148.13
E,f,1147.37
E,f,1145.1
E,f,1141.3
E,f,1135.99
E,f,1129.15
E,f,1120.8
E,f,1110.93
E,f,1099.54
E,f,1086.64
E,f,1072.21
E,f,1056.27
E,f,1038.81
E,f,1019.83
E,f,999.326
E,f,977.309
E,f,953.773
E,f,928.719
E,f,902.146
E,f,874.055
E,f,844.446
E,f,813.318
E,f,780.671
E,f,746.507
E,f,710.823
E,f,673.622
E,f,634.901
E,f,594.663
E,f,552.906
E,f,509.631
E,f,464.837
E,f,418.524
E,f,370.694
E,f,321.344
E,f,270.477
E,f,218.091
E,f,164.186
E,f,108.763
